ClaGenus,ClaSpecies,AutAuthorString,SummaryData
Geodia,cariboea,"Duchassaing & Michelotti, 1864","Michelotti, G."
Geodia,carinata,"Bowerbank, 1858","Bowerbank, J. S."
Placospongia,carinata,"(Bowerbank, 1858)",
Calathospongia,carlli,Hall & Clarke,
Fibulia,carnosa,"Carter, 1886","Carter, H. J."
Lissodendoryx,carolinensis,"Wilson, 1911","Wilson, H. V."
Ceratodictya,carpenteriana,Hall,
Cliona,carribaea,"Carter, 1882","Carter, H. J."
Choia,carteri,Walcott,"Walcott, C. D."
Clathria,carteri,"Topsent, 1889","Topsent, E."
Thalyseurypon,carteri,"(Topsent, 1889)",
Halichondria,cartilaginea,"(Esper, 1794)",
Hircinia,cartilaginea,"(Esper, 1794)",
Blastinia,castatum,,
Dictyophyton,catilliformis,,
Phragmodictya,catilliformis,,
Tethya,caudata,"Deszo, 1879",
Aplysina,cauliformis,"(Carter, 1882)",
Luffaria,cauliformis,"Carter, 1882","Carter, H. J."
Luffaria,cauliformis,"Carter, 1882","Carter, H. J."
Verongia,cauliformis,(Carter),
Aplysina,cavernicola,"(Vacelet, 1959)",
Verongia,cavernicola,"Vacelet, 1959",
Cinachyra,cavernosa,"(Lamarck, 1815)",
Cinachyrella,cavernosa,"(Lamarck, 1815)",
Fasciospongia,cavernosa,"(Schmidt, 1862)",
Hyattella,cavernosa,"(Pallas, 1766)",
Mycale,cavernosa,"Bergquist, 1965","Bergquist, P. R."
Mycale,cecilia,"de Laubenfels, 1936","de Laubenfels, M. W."
Cliona,celata,"Grant, 1826",
Amphimedon,cellulosa,"(Verrill, 1907)",
Pachychalina,cellulosa,"Verrill, 1907","Verrill, A. E."
Cliona,celta,Grant,
Dactylia,ceratosa,"(Dendy, 1887)",
Siphonochalina,ceratosa,"Dendy, 1887","Dendy, A."
Hippospongia,cerebriformis,(Duchassaing & Michelotti),
Smenospongia,cerebriformis,"(Duchassaing & Michelotti, 1864)",
Spongia,cerebriformis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,cerebriformis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Chalina,cervicornis,,
Chalinula,cervicornis,Bowerbank,"Bowerbank, J. S."
Clathria,cervicornis,"(Thiele, 1903)",
Rhaphidophlus,cervicornis,"Thiele, 1903","Thiele, J."
Rhizopoterion,cervicornis,,
Rhizopterion,cervicornis,Goldfuss,"Goldfuss, G. A."
Rhizospongia,cervicornis,,
Spongia,cheiris,"de Laubenfels & Storr, 1958","de Laubenfels, M. W."
Spongia,cheiris,"de Laubenfels & Storr, 1958","Storr, J. F."
Iophon,cheliferum,"Ridley & Dendy, 1886","Ridley, S. O."
Iophon,cheliferum,"Ridley & Dendy, 1886","Dendy, A."
Biemna,chilensis,"Thiele, 1905","Thiele, J."
Cliona,chilensis,"Thiele, 1905","Thiele, J."
Dysidea,chlorea,"de Laubenfels, 1954","de Laubenfels, M. W."
Lamellodysidea,chlorea,"(de Laubenfels, 1954)",
Prismodictya,choanea,,
Fasciospongia,chondrodes,"(de Laubenfels, 1954)",
Lendenfeldia,chondrodes,"(de Laubenfels, 1954)",
Spongionella,chondrodes,"de Laubenfels, 1954","de Laubenfels, M. W."
Astylospongia,christiani,,
Thorectopsamma,chromogenia,"de Laubenfels, 1950","de Laubenfels, M. W."
Scypha,ciliata,,
Scypha,ciliatum,"(Fabricius, 1780)",
Sycon,ciliatum,"(Fabricius, 1780)",
Grantia,cilliata,(Fabricius),
Haliclona,cinerea,"(Grant, 1826)",
Isodictya,cinerea,Bowerbank,"Bowerbank, J. S."
Spongilla,cinerea,Carter,
Terpios,cladocerae,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Terpios,cladocerae,"Duchassaing & Michelotti, 1864","Michelotti, G."
Stelletta,clarella,"de Laubenfels, 1930","de Laubenfels, M. W."
Ascortis,clarkii,"Verrill, 1873","Verrill, A. E."
Leucosolenia,clarkii,"(Verrill, 1873)",
Clathria,clathrata,"(Schmidt, 1870)",
Craticularia,clathrata,,
Hircinia,clathrata,"Carter, 1881","Carter, H. J."
Monanchora,clathrata,"Carter, 1883","Carter, H. J."
Pasceolus,claudii,,
Spongia,clavaherculis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,clavaherculis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Corallistes,clavatella,"Schmidt, 1870","Schmidt, E. O."
Macandrewia,clavatella,"(Schmidt, 1870)",
Eurypon,clavatum,"(Bowerbank, 1866)",
Spirastrella,coccinea,"(Duchassaing & Michelotti, 1864)",
Thalysias,coccinea,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Thalysias,coccinea,"Duchassaing & Michelotti, 1864","Michelotti, G."
Pellina,coela,"de Laubenfels, 1950","de Laubenfels, M. W."
Pellina,coeliformis,"Hechtel, 1965","Hechtel, G. J."
Margaritella,coeloptychiodes,"Schmidt, 1880","Schmidt, E. O."
Haliclona,coerulescens,"(Topsent, 1918)",
Pleurostoma,coetata,,
Chondrosia,collectrix,"(Schmidt, 1870)",
Rhysospongia,colletti,,
Trypespongia,columbia,"de Laubenfels, 1936","de Laubenfels, M. W."
Polytherses,columnaris,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Polytherses,columnaris,"Duchassaing & Michelotti, 1864","Michelotti, G."
Preverticillites,columnella,"Parona, 1933","Parona, C. F."
Taonura,colus,"(Lamarck, 1814)",
Hippospongia,communis,"(Lamarck, 1814)",
Hippospongia,communis,"de Laubenfels, 1954","de Laubenfels, M. W."
Hyrtios,communis,"(Carter, 1885)",
Suberites,compacta,"Verrill, 1873","Verrill, A. E."
Pachypoterion,compactum,,
Suberites,compactus,"Verrill, 1873","Verrill, A. E."
Amphimedon,complanata,"(Duchassaing, 1850)",
Haliclona,complanata,"(Duchassaing, 1850)",
Spongia,complanata,"Duchassaing, 1850","Duchassaing, É. P."
Dysidea,complex,"(de Laubenfels, 1954)",
Phyllospongia,complex,"de Laubenfels, 1954","de Laubenfels, M. W."
Amphimedon,compressa,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Amphimedon,compressa,"Duchassaing & Michelotti, 1864","Michelotti, G."
Aplysina,compressa,"Carter, 1882","Carter, H. J."
Auletta,compressa,Hechtel,"Hechtel, G. J."
Clathria,compressa,"Schmidt, 1862","Schmidt, E. O."
Grantia,compressa,"(Fabricius, 1780)",
Joannella,compressa,"Schmidt, 1880","Schmidt, E. O."
Phymaraphinia,compressa,Hinde,"Hinde, G. J."
Aulena,concertina,"de Laubenfels, 1954","de Laubenfels, M. W."
Hyattella,concertina,"(de Laubenfels, 1954)",
Chondrocladia,concrescens,"(Schmidt, 1880)",
Cladorhiza,concrescens,"Schmidt, 1880","Schmidt, E. O."
Microdendron,confluens,,
Spheciospongia,confoederata,"de Laubenfels, 1930","de Laubenfels, M. W."
Halichondrites,confusus,,
Stylopegma,conica,King,"King, P. P."
Agelas,conifera,(Schmidt),
Gelliodes,consimilis,"Lundbeck, 1902","Lundbeck, W."
Turonia,constricta,Zittel,
Leptophragma,contorta,,
Thalyseurypon,conulosa,"Hechtel, 1965","Hechtel, G. J."
Pachastrella,convoluta,,
Astrostomella,corallina,,
Uruguaya,corallioides,"(Bowerbank, 1863)",
Siphonodictyon,coralliphagum,"Rützler, 1971","Rützler, K."
Siphonodictyon,coralliphagum,Rutzler,
Clathria,coralloides,"(Scopoli, 1772)",
Clathrina,coriacea,"(Montagu, 1814)",
Jaspis,coriacea,(Carter),
Spongia,corlosia,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,corlosia,"Duchassaing & Michelotti, 1864","Michelotti, G."
Grantia,coronata,"(Ellis & Solander, 1786)",
Protospongia,coronata,,
Sycon,coronatum,"(Ellis & Solander, 1786)",
Penares,cortius,"de Laubenfels, 1930","de Laubenfels, M. W."
Stioderma,coscinum,Finks,"Finks, R. M."
Hallirhoa,costata,,
Sphenaulax,costata,Goldfuss,"Goldfuss, G. A."
Crambe,crambe,"(Schmidt, 1862)",
Craniella,cranium,"(Muller, 1776)",
Craniella,cranium,"(George & Wilson, 1919)",
Aiolochroia,crassa,"(Hyatt, 1875)",
Dendrospongia,crassa,"Hyatt, 1875",
Isodictya,crassa,"Bowerbank, 1866","Bowerbank, J. S."
Pseudoceratina,crassa,(Hyatt),
Verongia,crassa,"(Hyatt, 1875)",
Haliclona,crassiloba,"(Lamarck, 1814)",
Stelletta,crater,"Dendy, 1924","Dendy, A."
Astylomanon,cratera,"(Roemer, 1848)",
Palaeomanon,cratera,Roemer,
Palaeomanon,cratera,,
Clathria,cratitia,"(Esper, 1797)",
Thalysias,cratitia,"(Esper, 1797)",
Dysidea,crawshayi,"de Laubenfels, 1936","de Laubenfels, M. W."
Cliona,cretacea,,
Stelospongos,cribriformis,Hyatt,
Stelospongos,cribriformis,,
Aciculites,cribrophora,"(Schmidt, 1880)",
Azorica,cribrophora,"Schmidt, 1880","Schmidt, E. O."
Cribrospongia,cribrosa,,
Papillina,cribrosa,"Schmidt, 1870","Schmidt, E. O."
Tuba,crispa,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Tuba,crispa,"Duchassaing & Michelotti, 1864","Michelotti, G."
Cryptotethya,crypta,de Laubenfels,"de Laubenfels, M. W."
Neocoelia,crypta,"Vacelet, 1977",
Tectitethya,crypta,"(de Laubenfels, 1949)",
Tethya,crypta,"(de Laubenfels, 1949)",
Vaceletia,crypta,"(Vacelet, 1977)",
Leiochonia,cryptoporosa,,
Corynella,crysanthemum,"Parona, 1933","Parona, C. F."
Geodia,cumulus,"Schmidt, 1870","Schmidt, E. O."
Clathria,curacaoensis,"Arndt, 1927","Arndt, W."
